pmid,title,year,journal,authors,institutions,countries,keywords,doi
25586294,Initiation of aripiprazole once-monthly in patients with schizophrenia.,2015,Current medical research and opinion,Raoufinia Arash; Baker Ross A; Eramo Anna; Nylander Anna-Greta; Landsberg Wally; Kostic Dusan; Larsen Frank,,United States,Antipsychotic; Aripiprazole once-monthly; Dosing information; long-acting injectable; Schizophrenia; Switching; Treatment initiation; Antipsychotic Agents; administration & dosage; adverse effects; Aripiprazole; Biomedical Research; Delayed-Action Preparations; Drug Administration Schedule; Drug Monitoring; methods; Drug Substitution; Injections; Piperazines; blood; Quinolones; drug therapy,10.1185/03007995.2015.1006356
26978050,[Plasma levels of antipsychotics and the severity of side-effects in the treatment of schizophrenia exacerbation].,2015,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,Potanin S S; Burminskiy D S; Morozova M A; Platova A I; Baymeeva N V; Miroshnichenko I I,Mental Health Research Centre,Russia,"Antipsychotic Agents; adverse effects; blood; therapeutic use; Aripiprazole; Benzodiazepines; Blood Glucose; drug effects; Clozapine; Depression; chemically induced; diagnosis; Drug Therapy, Combination; Haloperidol; Hyperprolactinemia; Olanzapine; Prolactin; Risperidone; Schizophrenia; drug therapy; Schizophrenic Psychology",10.17116/jnevro201511511140-46
25384118,Plasma Methylphenidate Levels in Youths With Attention Deficit Hyperactivity Disorder Treated With OROS Formulation.,2015,Therapeutic drug monitoring,Yorbik Ozgur; Mutlu Caner; Ozilhan Selma; Eryilmaz Gul; Isiten Nuket; Alparslan Serdar; Saglam Esra,Bakirkoy Prof Dr Mazhar Osman Training and Research Hospital for Psychiatry,Turkey,"Administration, Oral; Aripiprazole; pharmacology; Attention Deficit Disorder with Hyperactivity; blood; drug therapy; Central Nervous System Stimulants; administration & dosage; Delayed-Action Preparations; pharmacokinetics; Dose-Response Relationship, Drug; Drug Interactions; Fluoxetine; Methylphenidate; Risperidone; Sertraline",10.1097/FTD.0000000000000149
25000175,Effect of valproate on the plasma concentrations of aripiprazole in bipolar patients.,2014,International journal of psychiatry in clinical practice,Eryilmaz Gul; Hizli Sayar Gökben; Özten Eylem; Gül Işıl Göğcegöz; Karamustafalioğlu Oğuz; Yorbik Özgür,Neuropsychiatry Istanbul Hospital,Turkey,"Aripiprazole; drug interaction; valproate; Antimanic Agents; administration & dosage; pharmacology; therapeutic use; Antipsychotic Agents; blood; pharmacokinetics; Bipolar Disorder; drug therapy; Drug Therapy, Combination; Piperazines; Quinolones; Valproic Acid",10.3109/13651501.2014.941879
24739668,Lack of correlation between the steady-state plasma concentrations of aripiprazole and haloperidol in Japanese patients with schizophrenia.,2014,Therapeutic drug monitoring,Nakamura Akifumi; Mihara Kazuo; Nemoto Kenji; Nagai Goyo; Kagawa Shoko; Suzuki Takeshi; Kondo Tsuyoshi,University of the Ryukyus,Japan,Antipsychotic Agents; blood; therapeutic use; Aripiprazole; Asian People; genetics; Haloperidol; Piperazines; Quinolones; Schizophrenia; drug therapy,10.1097/FTD.0000000000000082
24682161,"Effects of genetic polymorphisms of CYP2D6, CYP3A5, and ABCB1 on the steady-state plasma concentrations of aripiprazole and its active metabolite, dehydroaripiprazole, in Japanese patients with schizophrenia.",2014,Therapeutic drug monitoring,Suzuki Takeshi; Mihara Kazuo; Nakamura Akifumi; Kagawa Shoko; Nagai Goyo; Nemoto Kenji; Kondo Tsuyoshi,University of the Ryukyus,Japan,"ATP Binding Cassette Transporter, Subfamily B; genetics; metabolism; Antipsychotic Agents; blood; pharmacokinetics; therapeutic use; Aripiprazole; Asian People; Cytochrome P-450 CYP2D6; Cytochrome P-450 CYP3A; Genotype; Piperazines; Polymorphism, Genetic; Quinolones; Schizophrenia; drug therapy",10.1097/FTD.0000000000000070
26417330,Clinical pharmacology of atypical antipsychotics: an update.,2014,EXCLI journal,Mauri M C; Paletta S; Maffini M; Colasanti A; Dragogna F; Di Pace C; Altamura A C,Institute of Psychiatry; University of Milan,United Kingdom; Italy,,
23666566,"Plasma, oral fluid, and whole-blood distribution of antipsychotics and metabolites in clinical samples.",2013,Therapeutic drug monitoring,Fisher Danielle S; van Schalkwyk Gerrit I; Seedat Soraya; Curran Sarah R; Flanagan Robert J,National Health Service,United Kingdom,"Antipsychotic Agents; pharmacokinetics; Chromatography, Liquid; methods; Drug Monitoring; Hydrogen-Ion Concentration; Saliva; chemistry; Tandem Mass Spectrometry",10.1097/FTD.0b013e318283eaf2
23664462,Plasma levels of second-generation antipsychotics and clinical response in acute psychosis: a review of the literature.,2013,Schizophrenia research,Lopez Leonardo V; Kane John M,The Zucker Hillside Hospital,United States,"Antipsychotic Agents; blood; therapeutic use; Databases, Bibliographic; statistics & numerical data; Psychotic Disorders; drug therapy",10.1016/j.schres.2013.04.002
23477803,"LC-MS/MS of some atypical antipsychotics in human plasma, serum, oral fluid and haemolysed whole blood.",2013,Forensic science international,Fisher Danielle S; Partridge Suzanne J; Handley Simon A; Couchman Lewis; Morgan Phillip E; Flanagan Robert J,National Health Service,United Kingdom,"Amisulpride; Antipsychotic Agents; analysis; Aripiprazole; Benzodiazepines; Chromatography, Liquid; Clozapine; analogs & derivatives; Dibenzothiazepines; Forensic Toxicology; methods; Hemolysis; Isoxazoles; Olanzapine; Paliperidone Palmitate; Piperazines; Pyrimidines; Quetiapine Fumarate; Quinolones; Reproducibility of Results; Risperidone; Saliva; chemistry; Serum; Sulpiride; Tandem Mass Spectrometry",10.1016/j.forsciint.2013.02.010
