source,target,weight,source_freq,target_freq
Drug Monitoring,administration & dosage,5,26,11
Risperidone,drug therapy,5,11,34
methods,therapeutic use,5,22,27
Aripiprazole,chemistry,5,46,9
pharmacokinetics,therapeutic drug monitoring,5,32,11
Schizophrenia,methods,5,24,22
Piperazines,pharmacology,5,26,7
Antipsychotic Agents,pharmacology,5,54,7
blood,therapeutic drug monitoring,5,40,11
Antipsychotic Agents,chemistry,5,54,9
Aripiprazole,Haloperidol,5,46,5
Benzodiazepines,Risperidone,5,8,11
"Dose-Response Relationship, Drug",therapeutic use,5,12,27
Asian People,drug therapy,5,5,34
Aripiprazole,antipsychotics,5,46,7
Drug Interactions,drug therapy,5,6,34
metabolism,methods,5,18,22
Olanzapine,therapeutic use,5,9,27
"Chromatography, High Pressure Liquid",Piperazines,5,8,26
Schizophrenia,administration & dosage,5,24,11
Risperidone,pharmacokinetics,5,11,32
Reproducibility of Results,chemistry,5,8,9
Antipsychotic Agents,Haloperidol,5,54,5
Drug Monitoring,metabolism,5,26,18
Antipsychotic Agents,"Chromatography, Liquid",5,54,7
Quinolones,pharmacology,5,25,7
Cytochrome P-450 CYP2D6,metabolism,5,7,18
Risperidone,therapeutic use,5,11,27
Aripiprazole,Genotype,5,46,5
Drug Monitoring,Olanzapine,4,26,9
Reproducibility of Results,Sensitivity and Specificity,4,8,4
Olanzapine,methods,4,9,22
Antipsychotic Agents,Drug Interactions,4,54,6
Aripiprazole,Sensitivity and Specificity,4,46,4
Reproducibility of Results,Tandem Mass Spectrometry,4,8,11
Cytochrome P-450 CYP2D6,therapeutic use,4,7,27
Drug Monitoring,Reproducibility of Results,4,26,8
Piperazines,chemistry,4,26,9
adverse effects,therapeutic use,4,11,27
Quinolones,Tandem Mass Spectrometry,4,25,11
Risperidone,methods,4,11,22
Risperidone,Schizophrenia,4,11,24
Quinolones,chemistry,4,25,9
"Chromatography, Liquid",blood,4,7,40
"Chromatography, Liquid",methods,4,7,22
Drug Stability,blood,4,4,40
Benzodiazepines,drug therapy,4,8,34
Benzodiazepines,blood,4,8,40
Antipsychotic Agents,Clozapine,4,54,5
Antipsychotic Agents,East Asian People,4,54,4
Aripiprazole,"Chromatography, Liquid",4,46,7
metabolism,therapeutic drug monitoring,4,18,11
Drug Monitoring,Mental Disorders,4,26,5
Drug Monitoring,chemistry,4,26,9
Drug Monitoring,Tandem Mass Spectrometry,4,26,11
Mental Disorders,pharmacokinetics,4,5,32
Psychotropic Drugs,blood,4,4,40
administration & dosage,adverse effects,4,11,11
Antipsychotic Agents,drug effects,4,54,4
Haloperidol,drug therapy,4,5,34
Asian People,therapeutic use,4,5,27
Haloperidol,blood,4,5,40
Haloperidol,Schizophrenia,4,5,24
blood,drug effects,4,40,4
administration & dosage,therapeutic use,4,11,27
"Chromatography, Liquid",chemistry,4,7,9
Aripiprazole,drug effects,4,46,4
drug therapy,genetics,4,34,6
Benzodiazepines,Schizophrenia,4,8,24
Quinolones,Sensitivity and Specificity,4,25,4
Sensitivity and Specificity,blood,4,4,40
Piperazines,Sensitivity and Specificity,4,26,4
Aripiprazole,Clozapine,4,46,5
Piperazines,adverse effects,4,26,11
"Chromatography, High Pressure Liquid",Quinolones,4,8,25
Sensitivity and Specificity,methods,4,4,22
Quinolones,adverse effects,4,25,11
Cytochrome P-450 CYP2D6,blood,4,7,40
blood,genetics,4,40,6
Cytochrome P-450 CYP2D6,pharmacokinetics,4,7,32
Drug Stability,Reproducibility of Results,4,4,8
Aripiprazole,Paliperidone Palmitate,4,46,4
analysis,methods,4,4,22
Antipsychotic Agents,Paliperidone Palmitate,4,54,4
Benzodiazepines,therapeutic use,4,8,27
Aripiprazole,Drug Interactions,4,46,6
blood,pharmacology,4,40,7
"Chromatography, High Pressure Liquid",Tandem Mass Spectrometry,4,8,11
drug therapy,pharmacology,4,34,7
Paliperidone Palmitate,methods,4,4,22
Benzodiazepines,Drug Monitoring,4,8,26
Drug Interactions,pharmacology,4,6,7
Cytochrome P-450 CYP2D6,drug therapy,4,7,34
Clozapine,Schizophrenia,4,5,24
Benzodiazepines,methods,4,8,22
Drug Stability,methods,4,4,22
Aripiprazole,Positron-Emission Tomography,3,46,3
"Drug Therapy, Combination",blood,3,3,40
Reproducibility of Results,pharmacokinetics,3,8,32
Positron-Emission Tomography,drug therapy,3,3,34
"Drug Therapy, Combination",drug therapy,3,3,34
Antipsychotic,Schizophrenia,3,3,24
Drug Stability,chemistry,3,4,9
Sensitivity and Specificity,chemistry,3,4,9
Drug Stability,Quinolones,3,4,25
Antipsychotic Agents,"Drug Therapy, Combination",3,54,3
Drug Stability,Sensitivity and Specificity,3,4,4
Drug Stability,Tandem Mass Spectrometry,3,4,11
"Drug Therapy, Combination",therapeutic use,3,3,27
Drug Stability,Piperazines,3,4,26
Benzodiazepines,Paliperidone Palmitate,3,8,4
Risperidone,antipsychotics,3,11,7
Antidepressive Agents,Antipsychotic Agents,3,4,54
Antidepressive Agents,Drug Monitoring,3,4,26
"Dose-Response Relationship, Drug",metabolism,3,12,18
Tandem Mass Spectrometry,therapeutic drug monitoring,3,11,11
"Dose-Response Relationship, Drug",methods,3,12,22
Antipsychotic Agents,"Receptors, Dopamine D2",3,54,3
adverse effects,methods,3,11,22
Benzodiazepines,Clozapine,3,8,5
"Receptors, Dopamine D2",blood,3,3,40
administration & dosage,methods,3,11,22
chemistry,metabolism,3,9,18
Haloperidol,drug effects,3,5,4
Antipsychotic Agents,"Chromatography, High Pressure Liquid",3,54,8
Drug Interactions,Quinolones,3,6,25
Drug Interactions,Piperazines,3,6,26
Antidepressive Agents,blood,3,4,40
drug effects,drug therapy,3,4,34
antipsychotics,blood,3,7,40
Drug Monitoring,adverse effects,3,26,11
Sensitivity and Specificity,Tandem Mass Spectrometry,3,4,11
pharmacology,therapeutic use,3,7,27
Benzodiazepines,Quetiapine Fumarate,3,8,3
Drug Interactions,Drug Monitoring,3,6,26
adverse effects,metabolism,3,11,18
Aripiprazole,Prolactin,3,46,3
Antipsychotic Agents,Prolactin,3,54,3
Antipsychotic Agents,Quetiapine Fumarate,3,54,3
Quetiapine Fumarate,Risperidone,3,3,11
"Chromatography, High Pressure Liquid",Limit of Detection,3,8,3
Olanzapine,Quetiapine Fumarate,3,9,3
Aripiprazole,Quetiapine Fumarate,3,46,3
"Chromatography, High Pressure Liquid",Drug Stability,3,8,4
Olanzapine,Paliperidone Palmitate,3,9,4
"Chromatography, High Pressure Liquid",Sensitivity and Specificity,3,8,4
Paliperidone Palmitate,Tandem Mass Spectrometry,3,4,11
antipsychotics,therapeutic drug monitoring,3,7,11
Drug Monitoring,Limit of Detection,3,26,3
Aripiprazole,analysis,3,46,4
Limit of Detection,methods,3,3,22
Prolactin,blood,3,3,40
Cytochrome P-450 CYP3A,metabolism,3,3,18
Schizophrenia,genetics,3,24,6
"Chromatography, Liquid",pharmacokinetics,3,7,32
Cytochrome P-450 CYP2D6,Cytochrome P-450 CYP3A,3,7,3
Cytochrome P-450 CYP3A,Piperazines,3,3,26
Cytochrome P-450 CYP3A,Quinolones,3,3,25
Genotype,metabolism,3,5,18
Olanzapine,pharmacokinetics,3,9,32
Delayed-Action Preparations,blood,3,3,40
Tandem Mass Spectrometry,metabolism,3,11,18
administration & dosage,pharmacology,3,11,7
"Dose-Response Relationship, Drug",pharmacology,3,12,7
Saliva,chemistry,3,3,9
Aripiprazole,Cytochrome P-450 CYP3A,3,46,3
Drug Interactions,blood,3,6,40
Drug Interactions,administration & dosage,3,6,11
Reproducibility of Results,analysis,3,8,4
analysis,chemistry,3,4,9
Cytochrome P-450 CYP2D6,Schizophrenia,3,7,24
Psychotropic Drugs,methods,3,4,22
chemistry,pharmacokinetics,3,9,32
genetics,pharmacokinetics,3,6,32
Delayed-Action Preparations,administration & dosage,3,3,11
Genotype,pharmacokinetics,3,5,32
East Asian People,drug therapy,3,4,34
Cytochrome P-450 CYP3A,blood,3,3,40
Genotype,blood,3,5,40
"Chromatography, Liquid",Piperazines,3,7,26
Genotype,drug therapy,3,5,34
"Chromatography, Liquid",Quinolones,3,7,25
Psychotropic Drugs,metabolism,3,4,18
Asian People,blood,3,5,40
East Asian People,pharmacokinetics,3,4,32
genetics,therapeutic use,3,6,27
Asian People,genetics,3,5,6
"Dose-Response Relationship, Drug",adverse effects,3,12,11
Aripiprazole,Delayed-Action Preparations,3,46,3
Mental Disorders,therapeutic use,3,5,27
genetics,metabolism,3,6,18
Antipsychotic Agents,Cytochrome P-450 CYP3A,3,54,3
Mental Disorders,blood,3,5,40
Delayed-Action Preparations,drug therapy,3,3,34
"Chromatography, High Pressure Liquid",chemistry,3,8,9
Bipolar Disorder,drug therapy,3,3,34
Antipsychotic Agents,Positron-Emission Tomography,3,54,3
Antipsychotic Agents,Valproic Acid,3,54,3
Antipsychotic Agents,Bipolar Disorder,3,54,3
instrumentation,methods,3,3,22
Clozapine,Olanzapine,3,5,9
Haloperidol,Olanzapine,3,5,9
Antimanic Agents,drug therapy,3,3,34
Tandem Mass Spectrometry,pharmacokinetics,3,11,32
Bipolar Disorder,pharmacokinetics,3,3,32
Antimanic Agents,pharmacokinetics,3,3,32
Bipolar Disorder,blood,3,3,40
Antimanic Agents,blood,3,3,40
Clozapine,therapeutic use,3,5,27
East Asian People,blood,3,4,40
Haloperidol,therapeutic use,3,5,27
Positron-Emission Tomography,therapeutic use,3,3,27
Asian People,pharmacokinetics,3,5,32
Valproic Acid,therapeutic use,3,3,27
Saliva,methods,3,3,22
Valproic Acid,drug therapy,3,3,34
"Dose-Response Relationship, Drug",Drug Interactions,3,12,6
Clozapine,Risperidone,3,5,11
blood,instrumentation,3,40,3
Bipolar Disorder,therapeutic use,3,3,27
Aripiprazole,Drug Stability,3,46,4
Benzodiazepines,therapeutic drug monitoring,2,8,11
Antipsychotic Agents,Saliva,2,54,3
"Polymorphism, Genetic",Quinolones,2,2,25
"Polymorphism, Genetic",drug therapy,2,2,34
Linear Models,Quinolones,2,2,25
Linear Models,Sensitivity and Specificity,2,2,4
Linear Models,Reproducibility of Results,2,2,8
Olanzapine,therapeutic drug monitoring,2,9,11
Linear Models,"Spectrometry, Mass, Electrospray Ionization",2,2,2
Reproducibility of Results,"Spectrometry, Mass, Electrospray Ionization",2,8,2
Sensitivity and Specificity,"Spectrometry, Mass, Electrospray Ionization",2,4,2
Quinolones,"Spectrometry, Mass, Electrospray Ionization",2,25,2
Specimen Handling,blood,2,2,40
"Spectrometry, Mass, Electrospray Ionization",Tandem Mass Spectrometry,2,2,11
Antipsychotic Agents,Psychiatric Status Rating Scales,2,54,2
Antipsychotic Agents,Severity of Illness Index,2,54,2
Asian People,administration & dosage,2,5,11
Linear Models,chemistry,2,2,9
"Spectrometry, Mass, Electrospray Ionization",chemistry,2,2,9
Antimanic Agents,Piperazines,2,3,26
Specimen Handling,methods,2,2,22
Mental Disorders,methods,2,5,22
"Chromatography, Liquid",Saliva,2,7,3
"Spectrometry, Mass, Electrospray Ionization",blood,2,2,40
Drug Monitoring,Specimen Handling,2,26,2
Piperazines,"Spectrometry, Mass, Electrospray Ionization",2,26,2
Linear Models,Tandem Mass Spectrometry,2,2,11
Antimanic Agents,Quinolones,2,3,25
Aripiprazole,Fluoxetine,2,46,2
Asian People,metabolism,2,5,18
Cytochrome P-450 CYP2D6,"Polymorphism, Genetic",2,7,2
Antipsychotic Agents,"Polymorphism, Genetic",2,54,2
"Polymorphism, Genetic",pharmacokinetics,2,2,32
Cytochrome P-450 CYP3A,therapeutic use,2,3,27
Fluoxetine,blood,2,2,40
Genotype,therapeutic use,2,5,27
Asian People,Psychiatric Status Rating Scales,2,5,2
Antipsychotic Agents,Limit of Detection,2,54,3
Asian People,Genotype,2,5,5
Tandem Mass Spectrometry,UPLC-MS/MS,2,11,2
Drug Monitoring,UPLC-MS/MS,2,26,2
"Chromatography, High Pressure Liquid",UPLC-MS/MS,2,8,2
Aripiprazole,UPLC-MS/MS,2,46,2
Antipsychotic Agents,UPLC-MS/MS,2,54,2
UPLC-MS/MS,blood,2,2,40
Aripiprazole,"Polymorphism, Genetic",2,46,2
Tandem Mass Spectrometry,antipsychotics,2,11,7
Asian People,Cytochrome P-450 CYP2D6,2,5,7
Antidepressive Agents,"Chromatography, High Pressure Liquid",2,4,8
Psychiatric Status Rating Scales,administration & dosage,2,2,11
Piperazines,"Polymorphism, Genetic",2,26,2
Severity of Illness Index,adverse effects,2,2,11
Genotype,Schizophrenia,2,5,24
Genotype,"Polymorphism, Genetic",2,5,2
Haloperidol,Piperazines,2,5,26
Haloperidol,Quinolones,2,5,25
Cytochrome P-450 CYP3A,drug therapy,2,3,34
Cytochrome P-450 CYP3A,Schizophrenia,2,3,24
Solid Phase Extraction,Tandem Mass Spectrometry,2,2,11
"Polymorphism, Genetic",genetics,2,2,6
