source,target,weight,source_freq,target_freq
Arai Daisuke,Saito Go,2,2,2
Arai Daisuke,Suzuki Hidekazu,2,2,2
Maruyama Hirotaka,Saito Go,2,2,2
Hara Satoshi,Saito Go,2,2,2
Saito Go,Tsumura Shinsuke,2,2,2
Saito Go,Sakagami Takuro,2,2,2
Sakata Shinya,Yamaguchi Teppei,2,2,2
Sakata Shinya,Tamiya Motohiro,2,2,2
Sakata Shinya,Suzuki Hidekazu,2,2,2
Sakata Shinya,Shibaki Ryota,2,2,2
Okada Asuka,Sakata Shinya,2,2,2
Sakata Shinya,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Sakata Shinya,2,3,2
Saito Go,Yamaguchi Teppei,2,2,2
Saito Go,Sakata Shinya,2,2,2
Sakagami Takuro,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Tsumura Shinsuke,2,2,2
Gawli Chandrakant S,Patil Bhatu R,2,2,2
Gawli Chandrakant S,Patel Harun M,2,2,2
Nagpure Narendra R,Patil Bhatu R,2,2,2
Nagpure Narendra R,Patel Harun M,2,2,2
Patel Harun M,Patil Bhatu R,2,2,2
Saito Go,Sakata Yoshihiko,2,2,2
Sakata Shinya,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Yamaguchi Teppei,2,2,2
Sakata Yoshihiko,Tamiya Motohiro,2,2,2
Sakata Yoshihiko,Suzuki Hidekazu,2,2,2
Sakata Yoshihiko,Shibaki Ryota,2,2,2
Okada Asuka,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Sakata Yoshihiko,2,3,2
Otsuki Taiichiro,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Sato Yuki,2,2,2
Sakata Yoshihiko,Uchida Junji,2,2,2
Sakata Yoshihiko,Tsukita Yoko,2,2,2
Inaba Megumi,Sakata Yoshihiko,2,2,2
Ikeda Hideki,Sakata Yoshihiko,2,2,2
Arai Daisuke,Sakata Yoshihiko,2,2,2
Maruyama Hirotaka,Sakata Yoshihiko,2,2,2
Hara Satoshi,Sakata Yoshihiko,2,2,2
Otsuki Taiichiro,Sakata Shinya,2,2,2
Sakata Shinya,Sato Yuki,2,2,2
Sakata Shinya,Uchida Junji,2,2,2
Shibaki Ryota,Tamiya Motohiro,2,2,2
Tamiya Motohiro,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Tamiya Motohiro,2,3,2
Otsuki Taiichiro,Tamiya Motohiro,2,2,2
Sato Yuki,Tamiya Motohiro,2,2,2
Tamiya Motohiro,Uchida Junji,2,2,2
Tamiya Motohiro,Tsukita Yoko,2,2,2
Inaba Megumi,Tamiya Motohiro,2,2,2
Ikeda Hideki,Tamiya Motohiro,2,2,2
Arai Daisuke,Tamiya Motohiro,2,2,2
Maruyama Hirotaka,Tamiya Motohiro,2,2,2
Hara Satoshi,Tamiya Motohiro,2,2,2
Tamiya Motohiro,Tsumura Shinsuke,2,2,2
Sakagami Takuro,Tamiya Motohiro,2,2,2
Shibaki Ryota,Suzuki Hidekazu,2,2,2
Okada Asuka,Suzuki Hidekazu,2,2,2
Suzuki Hidekazu,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Suzuki Hidekazu,2,3,2
Otsuki Taiichiro,Suzuki Hidekazu,2,2,2
Sato Yuki,Suzuki Hidekazu,2,2,2
Suzuki Hidekazu,Uchida Junji,2,2,2
Suzuki Hidekazu,Tsukita Yoko,2,2,2
Inaba Megumi,Suzuki Hidekazu,2,2,2
Ikeda Hideki,Suzuki Hidekazu,2,2,2
Okada Asuka,Tamiya Motohiro,2,2,2
Suzuki Hidekazu,Tamiya Motohiro,2,2,2
Sakata Shinya,Tsukita Yoko,2,2,2
Sakagami Takuro,Yamaguchi Teppei,2,2,2
Inaba Megumi,Sakata Shinya,2,2,2
Ikeda Hideki,Sakata Shinya,2,2,2
Arai Daisuke,Sakata Shinya,2,2,2
Maruyama Hirotaka,Sakata Shinya,2,2,2
Hara Satoshi,Sakata Shinya,2,2,2
Sakata Shinya,Tsumura Shinsuke,2,2,2
Sakagami Takuro,Sakata Shinya,2,2,2
Tamiya Motohiro,Yamaguchi Teppei,2,2,2
Suzuki Hidekazu,Yamaguchi Teppei,2,2,2
Shibaki Ryota,Yamaguchi Teppei,2,2,2
Okada Asuka,Yamaguchi Teppei,2,2,2
Yamaguchi Teppei,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Yamaguchi Teppei,2,3,2
Otsuki Taiichiro,Yamaguchi Teppei,2,2,2
Sato Yuki,Yamaguchi Teppei,2,2,2
Uchida Junji,Yamaguchi Teppei,2,2,2
Tsukita Yoko,Yamaguchi Teppei,2,2,2
Inaba Megumi,Yamaguchi Teppei,2,2,2
Ikeda Hideki,Yamaguchi Teppei,2,2,2
Arai Daisuke,Yamaguchi Teppei,2,2,2
Maruyama Hirotaka,Yamaguchi Teppei,2,2,2
Hara Satoshi,Yamaguchi Teppei,2,2,2
Tsumura Shinsuke,Yamaguchi Teppei,2,2,2
Sakagami Takuro,Tsumura Shinsuke,2,2,2
