pmid,title,year,journal,authors,institutions,countries,keywords,doi
35948502,Response to letter entitled: Re: 'Inadequacy of PCR genotyping in advanced non-small cell lung cancer: EGFR L747_A755delinsSS exon 19 deletion is not detected by the real-time PCR IdyllaTM EGFR mutation test but is detected by ctDNA NGS and responds to osimertinib': Not looking back.,2022,"European journal of cancer (Oxford, England : 1990)",O'Sullivan Hazel; d'Arienzo Paolo D; Yousaf Nadia; Cui Wanyuan; Popat Sanjay,National Health Service,United Kingdom,"Acrylamides; Aniline Compounds; Carcinoma, Non-Small-Cell Lung; drug therapy; genetics; Circulating Tumor DNA; ErbB Receptors; Exons; Genotype; Indoles; Lung Neoplasms; Mutation; Pyrimidines; Real-Time Polymerase Chain Reaction",10.1016/j.ejca.2022.06.040
35865090,Target-based anticancer indole derivatives and insight into structure‒activity relationship: A mechanistic review update (2018-2021).,2022,Acta pharmaceutica Sinica. B,Dhiman Ashima; Sharma Rupam; Singh Rajesh K,Shivalik College of Pharmacy,India,anticancer; Apoptosis; Aromatase inhibitors; Indole; Structure‒activity relationship; Synthesis; Topoisomerase; Tubulin inhibitors,10.1016/j.apsb.2022.03.021
35817438,Inhibition of Cytochrome P450 2J2-Mediated Metabolism of Rivaroxaban and Arachidonic Acid by Ibrutinib and Osimertinib.,2022,Drug metabolism and disposition: the biological fate of chemicals,Wang Ziteng; Yong Chan Eric Chun,National University of Singapore,Singapore,Acrylamides; Adenine; analogs & derivatives; Aniline Compounds; Arachidonic Acid; metabolism; Cytochrome P-450 CYP2J2; Cytochrome P-450 Enzyme Inhibitors; pharmacology; Cytochrome P-450 Enzyme System; Indoles; Piperidines; Pyrimidines; Rivaroxaban,10.1124/dmd.122.000928
35711361,Case Report: Torsade de Pointes Induced by the Third-Generation Epidermal Growth Factor Receptor-Tyrosine Kinase Inhibitor Osimertinib Combined With Litsea Cubeba.,2022,Frontiers in cardiovascular medicine,Zhang Xia-Yan; Wu Cha-Bin; Wu Cai-Xia; Lin Li; Zhou Yue-Juan; Zhu Yan-Yan; Tian Wei-Qiang; Luo Song-Mei,Longquan Hospital of TCM; Lishui Central Hospital; Traditional Chinese Medicine Hospital of Qingyuan,China,Litsea Cubeba; QT prolongation; Adverse events; Osimertinib; Torsade de Pointes,10.3389/fcvm.2022.903354
35707406,Salvage therapy of osimertinib plus anlotinib in advanced lung adenocarcinoma with leptomeningeal metastasis: A case report.,2022,Respiratory medicine case reports,Wu Kai; Fu Yifan; Gao Ziyuan; Jiang Junhong,The First Affiliated Hospital of Soochow University; Dushu Lake Hospital Affiliated to Soochow University,China,Anlotinib; Case report; Leptomeningeal metastasis; non-small cell lung cancer; Osimertinib,10.1016/j.rmcr.2022.101682
35677717,Aumolertinib Effectively Reduces Clinical Symptoms of an EGFR L858R-Mutant Non-Small Cell Lung Cancer Case Coupled With Osimertinib-Induced Cardiotoxicity: Case Report and Review.,2022,Frontiers in endocrinology,Zhang Qianqian; Liu Haiyang; Yang Jia,Henan Provincial People's Hospital,China,"L858R; NSCLC; aumolertinib; cardiac failure; Osimertinib; Acrylamides; Aniline Compounds; Carcinoma, Non-Small-Cell Lung; drug therapy; genetics; ErbB Receptors; heart failure; Indoles; Lung Neoplasms; pathology; Pyrimidines",10.3389/fendo.2022.833929
35378738,Fulminant myocarditis in a patient with a lung adenocarcinoma after the third dose of modern COVID-19 vaccine. A case report and literature review.,2022,Current problems in cancer. Case reports,Terán Brage Eduardo; Roldán Ruíz Jonnathan; González Martín Javier; Oviedo Rodríguez Juan Diego; Vidal Tocino Rosario; Rodríguez Diego Sara; Sánchez Hernández Pedro Luis; Bellido Hernández Lorena; Fonseca Sánchez Emilio,University Hospital of Salamanca; Institute for Biomedical Research of Salamanca (IBSAL),Spain,COVID-19 mRNA vaccine; Lung adenocarcinoma; Myocarditis; Osimertinib,10.1016/j.cpccr.2022.100153
35369607,RELAY+: Exploratory Study of Ramucirumab Plus Gefitinib in Untreated Patients With EGFR-Mutated Metastatic NSCLC.,2022,JTO clinical and research reports,Nishio Makoto; Nishio Kazuto; Reck Martin; Garon Edward B; Imamura Fumio; Kawaguchi Tomoya; Yamaguchi Hiroyuki; Ikeda Satoshi; Hirano Katsuya; Visseren-Grul Carla; Ceccarelli Matteo; Wijayawardana Sameera R; Zimmermann Annamaria; Matsui Tomoko; Enatsu Sotaro; Nakagawa Kazuhiko,"Eli Lilly Netherlands; Eli Lilly Italy; Airway Research Center North; Kanagawa Cardiovascular and Respiratory Center; Kindai University; University of California, Los Angeles; Nagasaki University Graduate School of Biomedical Sciences; The Cancer Institute Hospital of Japanese Foundation for Cancer Research; Osaka International Cancer Institute; Hyogo Prefectural Amagasaki General Medical Center; Graduate School of Medicine; Eli Lilly Japan K.K; Eli Lilly and Company",Netherlands; Italy; Germany; Japan,East Asia; Plasma biopsy; Vascular endothelial growth factor receptor-2,10.1016/j.jtocrr.2022.100303
35276501,Inadequacy of PCR genotyping in advanced non-small cell lung cancer: EGFR L747_A755delinsSS exon 19 deletion is not detected by the real-time PCR Idylla™ EGFR mutation test but is detected by ctDNA next generation sequencing and responds to osimertinib.,2022,"European journal of cancer (Oxford, England : 1990)",O'Sullivan Hazel; d'Arienzo Paolo D; Yousaf Nadia; Cui Wanyuan; Popat Sanjay,National Health Service,United Kingdom,"Acrylamides; Aniline Compounds; therapeutic use; Carcinoma, Non-Small-Cell Lung; drug therapy; genetics; Circulating Tumor DNA; ErbB Receptors; Exons; Genotype; High-Throughput Nucleotide Sequencing; Lung Neoplasms; Mutation; Protein Kinase Inhibitors; Real-Time Polymerase Chain Reaction; Indoles; Pyrimidines",10.1016/j.ejca.2022.02.007
35208635,Successful Management of Osimertinib-Induced Heart Failure.,2022,"Medicina (Kaunas, Lithuania)",Fukuo Atsuko; Imamura Teruhiko; Onoda Hiroshi; Kinugawa Koichiro,University of Toyama,Japan,"cancer; heart failure; Onco-cardiology; Acrylamides; adverse effects; Aniline Compounds; Carcinoma, Non-Small-Cell Lung; drug therapy; chemically induced; Lung Neoplasms; Mutation; Protein Kinase Inhibitors; Indoles; Pyrimidines",10.3390/medicina58020312
