source,target,weight,source_freq,target_freq
Jang Seung Hun,Kim Taeyun,2,7,2
Smit Egbert F,Wu Yi-Long,2,2,5
Kim Taeyun,Park Chan Kwon,2,2,4
Kim Taeyun,Lee Shin Yup,2,2,5
Kim Taeyun,Lee Jeong Eun,2,2,6
Lee Yoo Jin,Mulvey Claire K,2,2,2
Waliany Sarah,Zhu Han,2,2,2
Cui Wanyuan,Yousaf Nadia,2,2,2
Lee Sung Yong,Park Cheol-Kyu,2,6,2
Jang Seung Hun,Park Cheol-Kyu,2,7,2
Lee Kye Young,Park Cheol-Kyu,2,5,2
Park Cheol-Kyu,Yang Sei Hoon,2,2,4
Hsu Kristie Y,Lou Kevin,2,2,2
Park Chan Kwon,Park Cheol-Kyu,2,4,2
Kobat Hasan,Nabhani-Gebara Shereen,2,2,2
Kanda Yasunari,Nishida Motohiro,2,3,2
Elkonaissi Islam,Nabhani-Gebara Shereen,2,2,2
Choi Chang-Min,Yang Sei Hoon,2,3,4
Choi Chang-Min,Park Chan Kwon,2,3,4
Baik Alan H,Patel Karishma,2,2,2
O'Sullivan Hazel,d'Arienzo Paolo D,2,2,2
Lou Kevin,Patel Karishma,2,2,2
Patel Karishma,Soni Krishan,2,2,2
Lee Yoo Jin,Patel Karishma,2,2,2
Mulvey Claire K,Patel Karishma,2,2,2
Choi Chang-Min,Jang Seung Hun,2,3,7
Kondo Moe,Nakamura Yuya,2,2,2
Kanda Yasunari,Nakamura Yuya,2,3,2
Nakamura Yuya,Nishida Motohiro,2,2,2
Kanda Yasunari,Kondo Moe,2,3,2
Kondo Moe,Nishida Motohiro,2,2,2
Lee Yoo Jin,Soni Krishan,2,2,2
Popat Sanjay,Yousaf Nadia,2,3,2
Jang Seung Hun,Jung Chi Young,2,7,3
Kim Ho Cheol,Lee Jeong Eun,2,2,6
Hsu Kristie Y,Lee Yoo Jin,2,2,2
Jang Seung Hun,Kim Ho Cheol,2,7,2
Chang Yoon Soo,Choi Chang-Min,2,4,3
O'Sullivan Hazel,Yousaf Nadia,2,2,2
Cui Wanyuan,O'Sullivan Hazel,2,2,2
O'Sullivan Hazel,Popat Sanjay,2,2,3
Yousaf Nadia,d'Arienzo Paolo D,2,2,2
Cui Wanyuan,d'Arienzo Paolo D,2,2,2
Popat Sanjay,d'Arienzo Paolo D,2,3,2
Hsu Kristie Y,Mulvey Claire K,2,2,2
Jung Chi Young,Kim Ho Cheol,2,3,2
Kamada Risa,Kunimasa Kei,2,2,4
Kunimasa Kei,Oka Toru,2,4,2
Jang Seung Hun,Kim Young-Chul,2,7,3
Kamada Risa,Oka Toru,2,2,2
Kumagai Toru,Kunimasa Kei,2,2,4
Saito Go,Sakata Yoshihiko,2,2,2
Du Beibei,Yang Ping,2,2,3
Du Beibei,Pan Yilin,2,2,2
Inaba Megumi,Sakata Yoshihiko,2,2,2
Sakata Yoshihiko,Tsukita Yoko,2,2,2
Sakata Yoshihiko,Uchida Junji,2,2,2
Maruyama Hirotaka,Sakagami Takuro,2,2,2
Otsuki Taiichiro,Sakata Yoshihiko,2,2,2
Nagpure Narendra R,Patil Bhatu R,2,2,2
Pan Yilin,Yang Ping,2,2,3
Cheng Ying,Lu Shun,2,2,2
Sakata Yoshihiko,Shibaki Ryota,2,2,2
Sakata Yoshihiko,Suzuki Hidekazu,2,2,2
Sakata Yoshihiko,Tamiya Motohiro,2,2,4
Sakata Yoshihiko,Yamaguchi Teppei,2,2,2
Sakata Shinya,Sakata Yoshihiko,2,2,2
Sakata Shinya,Shibaki Ryota,2,2,2
Sakata Shinya,Suzuki Hidekazu,2,2,2
Sakata Yoshihiko,Sato Yuki,2,2,2
Imamura Fumio,Nishino Kazumi,2,3,2
Kumagai Toru,Tamiya Motohiro,2,2,4
Fujita Masashi,Tamiya Motohiro,2,2,4
Imamura Fumio,Tamiya Motohiro,2,3,4
Fujita Masashi,Kumagai Toru,2,2,2
Inoue Takako,Nishino Kazumi,2,2,2
Inoue Takako,Tamiya Motohiro,2,2,4
Kamada Risa,Kumagai Toru,2,2,2
Fujita Masashi,Kamada Risa,2,2,2
Imamura Fumio,Kumagai Toru,2,3,2
Fujita Masashi,Imamura Fumio,2,2,3
Okada Asuka,Sakata Yoshihiko,2,2,2
Fujita Masashi,Nishino Kazumi,2,2,2
Gawli Chandrakant S,Patel Harun M,2,2,2
Kamada Risa,Nishino Kazumi,2,2,2
Kamada Risa,Tamiya Motohiro,2,2,4
Inoue Takako,Kamada Risa,2,2,2
Nishino Kazumi,Tamiya Motohiro,2,2,4
Inoue Takako,Kumagai Toru,2,2,2
Fujita Masashi,Inoue Takako,2,2,2
Imamura Fumio,Inoue Takako,2,3,2
Imamura Fumio,Kamada Risa,2,3,2
Sakata Yoshihiko,Yokoyama Toshihide,2,2,2
Kumagai Toru,Nishino Kazumi,2,2,2
Kim Mi-Hyun,Lee Kye Young,2,2,5
Chang Yoon Soo,Kim Mi-Hyun,2,4,2
Kim Mi-Hyun,Lee Sung Yong,2,2,6
Choi Chang Min,Yoon Seong Hoon,2,3,4
Jiang Enshe,Wang Gongxin,2,2,2
Hao Guoliang,Tian Xiaohui,2,2,2
Li Yanming,Tian Xiaohui,2,2,2
Choi Chang Min,Ryu Jeong Seon,2,3,3
Choi Chang Min,Yang Sei Hoon,2,3,4
Choi Chang Min,Kim Seung Joon,2,3,5
Choi Chang Min,Lee Kye Young,2,3,5
Sakata Shinya,Tamiya Motohiro,2,2,4
Kim Mi-Hyun,Lee Jeong Eun,2,2,6
Kim Mi-Hyun,Ryu Jeong Seon,2,2,3
Kim Mi-Hyun,Yang Sei Hoon,2,2,4
Choi Chang Min,Lee Sang Hoon,2,3,5
Choi Chang Min,Park Chan Kwon,2,3,4
Choi Chang Min,Lee Shin Yup,2,3,5
Kim Seung Joon,Park Cheol-Kyu,2,5,2
Lee Sang Hoon,Park Cheol-Kyu,2,5,2
Lee Jeong Eun,Park Cheol-Kyu,2,6,2
Lee Shin Yup,Park Cheol-Kyu,2,5,2
Foreman Emma,Nabhani-Gebara Shereen,2,2,2
Chang Yoon Soo,Choi Chang Min,2,4,3
Sakata Shinya,Yamaguchi Teppei,2,2,2
Saito Go,Sakagami Takuro,2,2,2
Patel Harun M,Patil Bhatu R,2,2,2
Nagpure Narendra R,Patel Harun M,2,2,2
Kim Mi-Hyun,Yoon Seong Hoon,2,2,4
Jang Seung Hun,Kim Mi-Hyun,2,7,2
Kim Mi-Hyun,Lee Sang Hoon,2,2,5
Kim Mi-Hyun,Park Chan Kwon,2,2,4
Kim Mi-Hyun,Lee Shin Yup,2,2,5
Park Chan Kwon,Ryu Jeong Seon,2,4,3
Jang Seung Hun,Ryu Jeong Seon,2,7,3
Kim Mi-Hyun,Kim Seung Joon,2,2,5
Choi Chang Min,Jang Tae Won,2,3,4
Choi Chang Min,Lee Sung Yong,2,3,6
Choi Chang Min,Kim Mi-Hyun,2,3,2
Jiang Enshe,Tian Xiaohui,2,2,2
Tian Xiaohui,Wang Gongxin,2,2,2
Hao Guoliang,Li Peiwen,2,2,2
Li Peiwen,Li Yanming,2,2,2
Jiang Enshe,Li Peiwen,2,2,2
Hao Guoliang,Li Yanming,2,2,2
Hao Guoliang,Jiang Enshe,2,2,2
Jiang Enshe,Li Yanming,2,2,2
Jang Tae Won,Kim Mi-Hyun,2,4,2
Tamiya Motohiro,Yamaguchi Teppei,2,4,2
Sakagami Takuro,Sakata Shinya,2,2,2
Sakata Shinya,Tsumura Shinsuke,2,2,2
Hara Satoshi,Sakata Shinya,2,3,2
Arai Daisuke,Yamaguchi Teppei,2,2,2
Ikeda Hideki,Yamaguchi Teppei,2,2,2
Ikeda Hideki,Sakata Shinya,2,2,2
Inaba Megumi,Sakata Shinya,2,2,2
Sakata Shinya,Tsukita Yoko,2,2,2
Sakata Shinya,Uchida Junji,2,2,2
Sakata Shinya,Sato Yuki,2,2,2
Otsuki Taiichiro,Sakata Shinya,2,2,2
Yamaguchi Teppei,Yokoyama Toshihide,2,2,2
Okada Asuka,Yamaguchi Teppei,2,2,2
Matsumoto Hirotaka,Shibaki Ryota,2,3,2
Voon Pei Jye,Wu Yi-Long,2,2,5
Okada Asuka,Shibaki Ryota,2,2,2
Sakagami Takuro,Suzuki Hidekazu,2,2,2
