pmid,title,year,journal,authors,institutions,countries,keywords,doi
34030168,Infection is associated with elevated serum concentrations of antipsychotic drugs.,2021,International clinical psychopharmacology,Zhang Yuan-Yuan; Zhou Xie-Hai; Shan Feng; Liang Jun,Affiliated Psychological Hospital of Anhui Medical University; Psychopharmacology Research Laboratory; Hefei Fourth People's Hospital,China,Antipsychotic Agents; blood; therapeutic use; Aripiprazole; Clozapine; Quetiapine Fumarate; Respiratory Tract Infections; drug therapy; Risperidone,10.1097/YIC.0000000000000366
33560096,Therapeutic Drug Monitoring of Psychotropics as a Diagnostic Tool for CYP2D6 Poor Metabolizer Phenotype.,2021,Therapeutic drug monitoring,Ganesh Soraya V; Beunk Lianne; Nikolik Bojan; van der Weide Jan; Bet Pierre M,St Jansdal Hospital,Netherlands,Cytochrome P-450 CYP2D6; genetics; Drug Monitoring; Genotype; Phenotype; Psychotropic Drugs; administration & dosage; pharmacokinetics,10.1097/FTD.0000000000000868
32997183,Therapeutic drug monitoring of children and adolescents treated with aripiprazole: observational results from routine patient care.,2020,"Journal of neural transmission (Vienna, Austria : 1996)",Egberts Karin; Reuter-Dang Su-Yin; Fekete Stefanie; Kulpok Christine; Mehler-Wex Claudia; Wewetzer Christoph; Karwautz Andreas; Mitterer Michaela; Holtkamp Kristian; Boege Isabel; Burger Rainer; Romanos Marcel; Gerlach Manfred; Taurines Regina,HEMERA Private Hospital for Mental Health; Laboratory; Clinic for Child and Adolescent Psychiatry and Psychotherapy; Medical University of Vienna; University Hospital of Wuerzburg; University Hospital of Ulm,Germany; Austria,Aripiprazole; Children; Pharmacovigilance; Schizophrenia; Serum concentration; TDM; Antipsychotic Agents; therapeutic use; Drug Monitoring; Patient Care; drug therapy,10.1007/s00702-020-02253-4
